FactType,Param1,Param2,AID,L,R,TID,const,label,name,owneeLowerMult,owneeUpperMult,ownerLowerMult,ownerUpperMult,returnType,static,type,typeID,visibility,visiblity
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506468_764613_4629,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506453_254295_4627,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506453_890700_4628,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506453_595040_4626,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506421_418534_4482,_10_0EAPbeta2_8740266_1126078506421_415921_4484,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506421_418534_4482,_10_0EAPbeta2_8740266_1126078506421_575155_4481,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506421_418534_4482,_10_0EAPbeta2_8740266_1126078506406_653760_4475,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506421_418534_4482,_10_0EAPbeta2_8740266_1126078506406_134970_4473,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506421_418534_4482,_10_0EAPbeta2_8740266_1126078506421_594074_4480,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506406_985296_4470,_10_0EAPbeta2_8740266_1126078506406_625214_4461,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506406_985296_4470,_10_0EAPbeta2_8740266_1126078506406_278896_4471,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506406_759352_4463,_10_0EAPbeta2_8740266_1126078506406_969603_4462,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506406_759352_4463,_10_0EAPbeta2_8740266_1126078506406_435892_4467,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506406_985296_4470,_10_0EAPbeta2_8740266_1126078506406_139002_4469,,,,,,,,,,,,,,,,,
