FactType,Param1,Param2,G,R,Region,SM,effect,eid,eventId,guardVal,label,name,parent,signalId,transID,trigger,type
contains,OLDID+1424988+452,OLDID+1424988+494,,,,,,,,,,,,,,,
contains,OLDID+1424988+452,_map0RZlbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
transition,OLDID+1424988+177,GUID+83d89792-8d14-48e1-b5dd-096c97124b96,,,_mapNhJlbEeqp3LAywGB6vQ,,,,_marCtZlbEeqp3LAywGB6vQ,,,,,,GUID+107dd3d2-2346-11d3-abfa-0010a4f1d0f6,,
transition,OLDID+1424988+177,GUID+83d89792-8d14-48e1-b5dd-096c97124b96,,,_mapNhJlbEeqp3LAywGB6vQ,,,,GUID+be00fb33-3f3b-11d3-ac65-0010a4f1d0f6,,,,,_marCdplbEeqp3LAywGB6vQ,GUID+107dd3df-2346-11d3-abfa-0010a4f1d0f6,evKeyOff,
transition,OLDID+1424988+188,OLDID+1424988+161,OLDID+1424988+645,,_mapNhJlbEeqp3LAywGB6vQ,,,,,else,,,,,OLDID+1424988+641,,
transition,OLDID+1424988+195,OLDID+1424988+161,OLDID+1424988+201,,_mapNhJlbEeqp3LAywGB6vQ,,changeCode();,_mapNn5lbEeqp3LAywGB6vQ,GUID+be00fb41-3f3b-11d3-ac65-0010a4f1d0f6,IS_IN(different),,,,_marCe5lbEeqp3LAywGB6vQ,OLDID+1424988+196,evKeyOn,
transition,OLDID+1424988+163,OLDID+1424988+161,GUID+9f27f49a-df03-11d2-ab10-0010a4f1d0f6,,_mapNhJlbEeqp3LAywGB6vQ,,itsController->GEN(evTemporise);,_mapNpJlbEeqp3LAywGB6vQ,,IS_IN(correct),,,,,GUID+9f27f498-df03-11d2-ab10-0010a4f1d0f6,,
transition,OLDID+1424988+161,OLDID+1424988+163,,,_mapNhJlbEeqp3LAywGB6vQ,,,,GUID+be00fb41-3f3b-11d3-ac65-0010a4f1d0f6,,,,,_marCe5lbEeqp3LAywGB6vQ,OLDID+1424988+162,evKeyOn,
transition,_mapNlJlbEeqp3LAywGB6vQ,OLDID+1424988+161,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,,,,OLDID+1424988+158,,
transition,OLDID+1424988+161,OLDID+1424988+161,OLDID+1424988+175,,_mapNhJlbEeqp3LAywGB6vQ,,itsController->GEN(evDisarm);,_mapNq5lbEeqp3LAywGB6vQ,GUID+be00fb33-3f3b-11d3-ac65-0010a4f1d0f6,IS_IN(correct),,,,_marCdplbEeqp3LAywGB6vQ,OLDID+1424988+170,evKeyOff,
